"K: kommitment, ansonsten Kürzel der Person (AN,JM,RW,BW)",,,,,,GV-Vorjahr,"196.625,88 €",,,K,BW,AN,RW,JM,,,,,,,,,,
ER,JM,1und1,"18,38 €",2018-03,,bei Jochen,27.3.2018,"289.298,23 €",,,,,,,,,,,,,,,,
AR,JM,"Hanseatic Bank, 2018-03-07-10107","12.200,48 €",2018-02,7.3.2018,bei Jochen,,"289.298,23 €",,"4.402,50 €","0,00 €","3.071,25 €","0,00 €","2.413,13 €","0,00 €","0,00 €","0,00 €","365,63 €",,"4.387,50 €",,"2.925,00 €",,
AR,JM,"JH, Ralf Rechnung-2018-03-08-10110","6.115,41 €",2018-02,8.3.2018,bei Jochen,,"289.298,23 €",,"1.027,80 €","0,00 €","0,00 €","3.597,30 €","256,95 €","0,00 €","0,00 €","0,00 €","256,95 €",,,"5.139,00 €",,,
AR,JM,"JH, Johannes & Ben","14.525,44 €",2018-02,8.3.2018,bei Jochen,,"289.298,23 €",,"2.441,25 €","2.086,88 €","0,00 €","0,00 €","7.067,81 €","0,00 €","0,00 €","0,00 €","610,31 €","2.981,25 €",,,"9.225,00 €",,
AR,K,Vermittlungsprovision Centrias AWS Beratung bei Jungheinrich,"1.785,00 €",2018-03,16.3.2018,bei Jochen,,"289.298,23 €",,"-770,63 €","0,00 €","0,00 €","0,00 €","1.660,31 €","0,00 €","0,00 €","0,00 €","610,31 €",,,,"1.500,00 €",,
ER,AN,Wolkesicher,"4,99 €",2018-03,17.3.2018,bei Jochen,29.3.2018,"289.293,24 €",,,,,,,,,,,,,,,,
ER,K,Reisekosten BW 2018-03,"1.677,50 €",2018-03,29.3.2018,bei Jochen,29.3.2018,"287.615,74 €",,,,,,,,,,,,,,,,
ER,K,Reisekosten BW 2018-03 Teil 2,"540,14 €",2018-03,3.4.2018,bei Jochen,3.4.2018,"287.075,60 €",,,,,,,,,,,,,,,,
ER,K,"hauptsache.net, Miete Büro","824,73 €",2018-04,3.4.2018,bei Jochen,3.4.2018,"286.250,87 €",,,,,,,,,,,,,,,,
ER,K,"Zinsen/Kontoführung
Abrechnung vom 29.03.2018","17,90 €",2018-03,,bei Jochen,30.3.2018,"286.232,97 €",,,,,,,,,,,,,,,,
ER,K,"Christine, JH Januar 2018","15.993,60 €",2018-01,3.4.2018,bei Jochen,3.4.2018,"270.239,37 €",,,,,,,,,,,,,,,,
GV,RW,Kommanditistenentnahme 2018-04,"8.000,00 €",2018-04,,bei Jochen,3.4.2018,"262.239,37 €",,,,,,,,,,,,,,,,
GV,JM,Kommanditistenentnahme 2018-04,"6.000,00 €",2018-04,,bei Jochen,3.4.2018,"256.239,37 €",,,,,,,,,,,,,,,,
GV,AN,Kommanditistenentnahme 2018-04,"6.000,00 €",2018-04,,bei Jochen,3.4.2018,"250.239,37 €",,,,,,,,,,,,,,,,
ER,AN,Belegabrechnung 2018-03 AN,"84,95 €",2018-03,3.4.2018,bei Jochen,3.4.2018,"250.154,42 €",,,,,,,,,,,,,,,,
Rückstellung,BW,Variabler Gehaltsanteil - Bonusrückstellung,"25.606,78 €",2017-12,,,30.3.2018,"224.547,64 €",,,,,,,,,,,,,,,,
Rückstellung,K,Rückstellung Jochen,"4.500,00 €",2017-12,,,30.3.2018,"220.047,64 €",,,,,,,,,,,,,,,,
